Notes,State,State Code,Year,Year Code,Diabetes,Diabetes Code,Tobacco Use,Tobacco Use Code,Births
,Iowa,19,2012,2012,No,2,Yes,1,5484
,Iowa,19,2012,2012,No,2,No,2,30393
,Iowa,19,2013,2013,Yes,1,Yes,1,468
,Iowa,19,2013,2013,Yes,1,No,2,2485
,Iowa,19,2013,2013,No,2,Yes,1,5520
,Iowa,19,2013,2013,No,2,No,2,30587
,Iowa,19,2014,2014,Yes,1,Yes,1,483
,Iowa,19,2014,2014,Yes,1,No,2,2613
,Iowa,19,2014,2014,No,2,Yes,1,5318
,Iowa,19,2014,2014,No,2,No,2,31247
,Iowa,19,2015,2015,Yes,1,Yes,1,448
,Iowa,19,2015,2015,Yes,1,No,2,2788
,Iowa,19,2015,2015,No,2,Yes,1,4968
,Iowa,19,2015,2015,No,2,No,2,31258
,Kansas,20,2007,2007,Yes,1,Yes,1,273
,Kansas,20,2007,2007,Yes,1,No,2,1580
,Kansas,20,2007,2007,No,2,Yes,1,6320
,Kansas,20,2007,2007,No,2,No,2,32273
,Kansas,20,2008,2008,Yes,1,Yes,1,293
,Kansas,20,2008,2008,Yes,1,No,2,1539
,Kansas,20,2008,2008,No,2,Yes,1,6251
,Kansas,20,2008,2008,No,2,No,2,32153
,Kansas,20,2009,2009,Yes,1,Yes,1,311
,Kansas,20,2009,2009,Yes,1,No,2,1617
,Kansas,20,2009,2009,No,2,Yes,1,5819
,Kansas,20,2009,2009,No,2,No,2,32431
,Kansas,20,2010,2010,Yes,1,Yes,1,300
,Kansas,20,2010,2010,Yes,1,No,2,1755
,Kansas,20,2010,2010,No,2,Yes,1,5714
,Kansas,20,2010,2010,No,2,No,2,32703
,Kansas,20,2011,2011,Yes,1,Yes,1,361
,Kansas,20,2011,2011,Yes,1,No,2,1829
,Kansas,20,2011,2011,No,2,Yes,1,5348
,Kansas,20,2011,2011,No,2,No,2,31945
,Kansas,20,2012,2012,Yes,1,Yes,1,344
,Kansas,20,2012,2012,Yes,1,No,2,2040
,Kansas,20,2012,2012,No,2,Yes,1,5154
,Kansas,20,2012,2012,No,2,No,2,32692
,Kansas,20,2013,2013,Yes,1,Yes,1,296
,Kansas,20,2013,2013,Yes,1,No,2,2012
,Kansas,20,2013,2013,No,2,Yes,1,4538
,Kansas,20,2013,2013,No,2,No,2,31911
,Kansas,20,2014,2014,Yes,1,Yes,1,313
,Kansas,20,2014,2014,Yes,1,No,2,2137
,Kansas,20,2014,2014,No,2,Yes,1,4368
,Kansas,20,2014,2014,No,2,No,2,32345
,Kansas,20,2015,2015,Yes,1,Yes,1,292
,Kansas,20,2015,2015,Yes,1,No,2,2132
,Kansas,20,2015,2015,No,2,Yes,1,4006
,Kansas,20,2015,2015,No,2,No,2,32653
,Kentucky,21,2007,2007,Yes,1,Yes,1,679
,Kentucky,21,2007,2007,Yes,1,No,2,2402
,Kentucky,21,2007,2007,No,2,Yes,1,14234
,Kentucky,21,2007,2007,No,2,No,2,41381
,Kentucky,21,2008,2008,Yes,1,Yes,1,712
,Kentucky,21,2008,2008,Yes,1,No,2,2414
,Kentucky,21,2008,2008,No,2,Yes,1,13787
,Kentucky,21,2008,2008,No,2,No,2,40776
,Kentucky,21,2009,2009,Yes,1,Yes,1,638
,Kentucky,21,2009,2009,Yes,1,No,2,2346
,Kentucky,21,2009,2009,No,2,Yes,1,12904
,Kentucky,21,2009,2009,No,2,No,2,40978
,Kentucky,21,2010,2010,Yes,1,Yes,1,622
,Kentucky,21,2010,2010,Yes,1,No,2,2281
,Kentucky,21,2010,2010,No,2,Yes,1,11822
,Kentucky,21,2010,2010,No,2,No,2,40416
,Kentucky,21,2011,2011,Yes,1,Yes,1,577
,Kentucky,21,2011,2011,Yes,1,No,2,2393
